,x,y,a,b,e,f
0,1,551,828,1773,736,398
1,2,559,795,381,849,1579
2,3,588,1254,969,1868,688
3,4,617,273,1176,726,871
4,5,637,469,429,228,1690
5,6,653,278,1165,1779,1265
6,7,672,555,53,1931,1594
7,8,679,820,1441,1013,358
8,9,703,146,1657,1857,1868
9,10,711,1426,65,452,1198
10,11,728,529,1252,1757,1756
11,12,751,189,257,778,214
12,13,772,1824,415,510,510
13,14,784,722,1091,508,1033
14,15,791,849,517,1876,1788
15,16,809,296,1422,198,514
16,17,822,1935,1562,804,1198
17,18,838,1656,4,1260,568
18,19,846,799,1596,332,242
19,20,865,1361,949,994,1348
20,21,895,122,617,1438,1342
21,22,900,922,11,781,565
22,23,920,1916,1410,1491,466
23,24,936,320,453,16,1645
24,25,953,1893,1137,1545,1020
25,26,981,1102,445,954,509
26,27,992,324,1769,1567,828
27,28,1004,1018,246,1926,726
28,29,1029,1809,1122,1021,106
29,30,1041,220,1466,1341,1660
30,31,1057,1858,239,883,1745
31,32,1067,237,1078,162,1385
32,33,1083,1578,648,1994,1553
33,34,1102,1642,1235,1395,613
34,35,1122,43,651,694,162
35,36,1148,1598,1261,293,124
36,37,1170,1794,1818,335,64
37,38,1182,1557,1179,933,250
38,39,1203,1446,220,84,1023
39,40,1211,1830,1944,1218,1709
40,41,1238,431,1001,1977,1579
41,42,1254,317,1461,1006,1344
42,43,1260,990,634,229,394
43,44,1289,1099,142,325,1217
44,45,1315,1105,1467,1592,718
45,46,1324,530,511,1099,35
46,47,1346,1422,1931,1427,896
47,48,1374,152,1894,1433,1582
48,49,1382,1251,692,1826,1493
49,50,1395,1603,1791,680,1140
50,51,1418,823,1653,1391,738
51,52,1434,1088,428,519,1172
52,53,1445,988,160,414,482
53,54,1465,1976,305,1149,1264
54,55,1479,148,660,919,506
55,56,1493,1003,747,856,250
56,57,1513,992,291,1203,545
57,58,1531,696,1940,769,708
58,59,1557,1723,1919,1556,770
59,60,1567,542,543,1685,925
60,61,1585,1873,1623,993,1004
61,62,1615,1058,1525,555,1941
62,63,1633,844,1854,241,317
63,64,1640,847,384,1103,393
64,65,1664,1782,762,1334,635
65,66,1679,1520,1524,1834,1780
66,67,1685,1075,576,1693,1610
67,68,1699,1592,693,202,1373
68,69,1712,1169,1987,271,526
69,70,1732,1531,32,1072,710
70,71,1741,1394,1650,1648,914
71,72,1762,315,1127,1402,894
72,73,1779,218,158,773,1131
73,74,1796,1748,457,1476,461
74,75,1808,1555,514,115,873
75,76,1821,1222,1008,1751,218
76,77,1847,510,1841,1232,900
77,78,1860,1151,1358,1181,639
78,79,1883,719,459,908,891
79,80,1895,533,1256,1185,900
80,81,1904,1943,249,974,737
81,82,1926,1562,1502,1124,27
82,83,1952,498,469,1221,474
83,84,1964,1810,499,623,270
84,85,1993,774,1507,137,458
85,86,2000,159,1251,1798,480
86,87,2000,532,1686,1514,808
87,88,2000,1709,699,648,524
88,89,2000,556,991,1816,438
89,90,2000,1516,1744,573,695
90,91,2000,338,328,1904,968
91,92,2000,1046,1839,91,1290
92,93,2000,1945,742,667,1301
93,94,2000,1587,1698,1623,398
94,95,2000,880,3,703,1568
95,96,2000,1212,169,1667,1955
96,97,2000,404,600,535,119
97,98,2000,649,37,1033,1563
98,99,2000,1371,1640,480,1414
99,100,2000,1817,1271,141,1485
100,101,2000,1352,1088,817,478
101,102,2000,505,438,301,328
102,103,2000,959,1833,932,428
103,104,2000,259,1100,557,814
104,105,2000,634,1338,1595,1997
105,106,2000,1332,878,770,953
106,107,2000,979,993,192,265
107,108,2000,695,2,1751,776
108,109,2000,1375,1681,194,1901
109,110,2000,1508,1449,1855,1120
110,111,2000,1999,1926,1219,317
111,112,2000,295,1147,1690,1127
112,113,2000,852,1793,530,1552
113,114,2000,1450,1565,1864,1329
114,115,2000,1062,63,1250,1302
115,116,2000,1984,659,1687,133
116,117,2000,525,1081,1008,674
117,118,2000,1815,1598,1143,283
118,119,2000,1324,576,1818,1076
119,120,2000,448,1743,1814,479
120,121,2000,1934,840,751,172
121,122,2000,626,1692,512,1135
122,123,2000,1509,225,1011,675
123,124,2000,1663,534,1934,1606
124,125,2000,1577,1462,383,1912
125,126,2000,576,219,307,116
126,127,2000,434,28,655,1789
127,128,2000,1683,269,634,761
128,129,2000,1856,1028,962,1379
129,130,2000,33,1742,1643,1920
130,131,2000,1881,651,1169,930
131,132,2000,1547,1920,95,142
132,133,2000,1850,485,89,1368
133,134,2000,815,1540,1750,1577
134,135,2000,839,371,1837,1370
135,136,2000,654,1917,1225,404
136,137,2000,1187,1085,1611,999
137,138,2000,182,563,1565,940
138,139,2000,1729,1200,260,477
139,140,2000,1665,192,1812,1425
140,141,2000,1784,900,329,270
141,142,2000,1638,343,958,1168
142,143,2000,820,716,1380,311
143,144,2000,1038,236,750,971
144,145,2000,1282,658,1484,819
145,146,2000,975,1363,982,1764
146,147,2000,1604,720,1950,480
147,148,2000,1810,390,947,864
148,149,2000,1763,191,1025,1892
149,150,2000,334,1981,665,886
150,151,2000,958,876,1572,229
151,152,2000,1496,293,1216,1712
152,153,2000,764,362,293,350
153,154,2000,1465,747,1510,570
154,155,2000,1967,986,359,1793
155,156,2000,899,1297,183,797
156,157,2000,986,1442,721,467
157,158,2000,1051,1336,1759,170
158,159,2000,883,1979,1771,1746
159,160,2000,1220,1632,1246,242
160,161,2000,1679,933,1414,809
161,162,2000,1702,135,623,333
162,163,2000,1,1958,488,1903
163,164,2000,543,41,504,1107
164,165,2000,723,417,733,1718
165,166,2000,1268,581,1365,1355
166,167,2000,658,1987,1569,219
167,168,2000,1897,383,1779,898
168,169,2000,1037,62,1138,723
169,170,2000,790,1673,1361,1274
170,171,2000,109,114,1849,1982
171,172,2000,232,1399,1544,579
172,173,2000,301,515,36,1461
173,174,2000,348,513,1784,332
174,175,2000,1634,1902,992,1160
175,176,2000,1573,45,1115,1364
176,177,2000,239,1387,1557,1211
177,178,2000,349,505,992,1913
