,UF,Município,População,Casos novos notificados na semana epidemiológica,Casos Acumulados,Incidência covid-19 (100 mil hab),Óbitos novos notificados na semana epidemiológica,Óbitos Acumulados,Taxa mortalidade (100 mil hab),Letalidade (%), Casos por 100 mil (recalc),Óbitos por 100 mil (recalc)
0,AC,Acrelândia,15256,0,3802,,0,40,,1.0520778537611783,24921.342422653383,262.19192448872576
1,AC,Assis Brasil,7417,0,2383,,0,27,,1.1330255979857322,32128.893083456922,364.0285829850344
2,AC,Brasiléia,26278,2,4391,,0,53,,1.2070143475290367,16709.79526600198,201.68962630337165
3,AC,Bujari,10266,1,1701,,0,21,,1.2345679012345678,16569.257744009352,204.55873758036236
4,AC,Capixaba,11733,0,1242,,0,20,,1.610305958132045,10585.527997954487,170.4593880507969
5,AC,Cruzeiro do Sul,88376,9,19561,,0,197,,1.007105976177087,22133.83724087988,222.9111976102109
6,AC,Epitaciolândia,18411,2,2369,,0,41,,1.7306880540312368,12867.307587855086,222.6929552984629
7,AC,Feijó,34780,1,4285,,0,71,,1.6569428238039672,12320.299022426683,204.14031052328926
8,AC,Jordão,8317,0,775,,0,2,,0.25806451612903225,9318.263797042204,24.04713237946375
9,AC,Mâncio Lima,18977,1,3181,,0,38,,1.1945928953159384,16762.396585340146,200.24239869315488
10,AC,Manoel Urbano,9459,0,1244,,0,18,,1.4469453376205788,13151.495929802304,190.29495718363464
11,AC,Marechal Thaumaturgo,18867,0,2010,,0,16,,0.7960199004975124,10653.522022579107,84.80415540361479
12,AC,Plácido de Castro,19761,0,4187,,0,29,,0.6926200143300693,21188.198977784527,146.75370679621477
13,AC,Porto Acre,18504,2,2758,,0,42,,1.5228426395939088,14904.885430177259,226.9779507133593
14,AC,Porto Walter,11982,0,644,,0,7,,1.0869565217391304,5374.728759806377,58.420964780504086
15,AC,Rio Branco,407319,59,94218,692.0865464169362,0,1250,2.700586027167895,1.3267103950412873,23131.25584615498,306.88477581453355
16,AC,Rodrigues Alves,18930,0,1224,,0,15,,1.2254901960784315,6465.927099841521,79.2393026941363
17,AC,Santa Rosa do Purus,6540,0,1223,,0,7,,0.5723630417007358,18700.305810397553,107.03363914373088
18,AC,Sena Madureira,45848,0,9380,,0,91,,0.9701492537313432,20458.907694992147,198.4819403245507
19,AC,Senador Guiomard,23024,0,3511,,0,44,,1.2532042153232696,15249.30507296734,191.10493398193188
20,AC,Tarauacá,42567,2,7169,,0,54,,0.7532431301436742,16841.68487325863,126.85883430826696
21,AC,Xapuri,19323,0,3719,,0,35,,0.9411132024737833,19246.49381566009,181.13129431247737
22,AL,,0,0,0,,0,0,,,,
