idade,jogo_favorito,plataforma,horas_por_semana
14,Fortnite,Mobile,3
14,Minecraft,Console,27
17,Free Fire,Mobile,5
15,Valorant,Console,19
13,Fortnite,PC,30
18,FIFA,Console,11
16,Minecraft,Console,25
14,Valorant,PC,7
13,Fortnite,PC,24
18,FIFA,PC,19
13,Free Fire,Console,27
16,Valorant,Console,20
16,Minecraft,Console,18
18,Valorant,Console,5
13,Fortnite,PC,23
17,Minecraft,PC,26
15,FIFA,Mobile,4
16,FIFA,Console,13
14,FIFA,Console,20
13,Free Fire,Mobile,7
15,Minecraft,PC,15
16,Free Fire,Mobile,8
17,Minecraft,Console,15
15,Valorant,Mobile,8
17,Minecraft,Console,22
16,Free Fire,Mobile,10
15,FIFA,PC,25
16,Minecraft,Mobile,10
14,Valorant,Console,27
16,Minecraft,Mobile,5
18,Fortnite,Mobile,2
17,Free Fire,Mobile,3
16,Minecraft,Console,9
16,Valorant,Console,13
16,Free Fire,PC,12
16,FIFA,Mobile,5
17,FIFA,Console,9
13,Valorant,PC,18
15,FIFA,Mobile,2
15,Valorant,PC,23
18,Free Fire,PC,19
17,Free Fire,Mobile,10
17,Free Fire,Console,15
14,Fortnite,Console,12
16,Minecraft,Mobile,9
18,Free Fire,Mobile,4
16,Minecraft,Mobile,7
13,Free Fire,Mobile,9
13,Fortnite,Console,25
14,Minecraft,Console,13
15,FIFA,Console,25
13,Valorant,PC,22
16,Valorant,Console,29
16,FIFA,Mobile,3
14,Valorant,PC,28
13,Free Fire,PC,29
18,Minecraft,Console,27
15,Minecraft,Mobile,2
15,Valorant,Mobile,4
14,FIFA,Console,26
14,Fortnite,Mobile,8
17,Fortnite,Console,23
14,Fortnite,Console,13
16,Valorant,Console,30
16,Valorant,Console,10
13,Free Fire,PC,23
15,Free Fire,Console,19
15,Fortnite,PC,20
13,Fortnite,Mobile,7
17,Valorant,PC,14
13,Free Fire,Mobile,2
17,Free Fire,PC,14
14,FIFA,PC,12
18,Fortnite,Console,26
18,Fortnite,Console,25
18,Minecraft,Mobile,9
13,FIFA,Mobile,4
13,Valorant,Mobile,8
14,Fortnite,Mobile,10
15,FIFA,Console,13
14,Valorant,PC,20
15,Valorant,PC,19
13,Fortnite,PC,12
18,Free Fire,PC,30
17,Valorant,Mobile,8
13,Valorant,Console,19
15,Valorant,Console,25
15,Minecraft,Console,20
13,FIFA,PC,22
15,FIFA,Mobile,3
18,Free Fire,PC,14
18,Free Fire,Mobile,2
13,Valorant,PC,8
13,Fortnite,PC,9
16,Free Fire,Mobile,10
16,FIFA,Console,9
16,Minecraft,PC,24
16,Valorant,Mobile,7
14,Free Fire,Console,12
15,Minecraft,PC,16
17,Valorant,Mobile,6
14,Minecraft,PC,19
13,Fortnite,Console,24
13,Minecraft,PC,12
14,FIFA,Mobile,10
14,FIFA,Mobile,5
15,Fortnite,PC,24
13,Valorant,PC,9
14,FIFA,Mobile,4
13,Minecraft,Mobile,7
14,FIFA,Mobile,4
15,Minecraft,Mobile,8
17,Minecraft,Console,20
16,Valorant,Console,8
16,FIFA,Mobile,2
18,FIFA,Mobile,2
13,Free Fire,PC,18
18,Minecraft,Console,19
13,Minecraft,Mobile,4
13,Fortnite,Mobile,10
